unique_internal_model_code,age_range,filtration_efficiency_percent,breathability_pascals,width_mm,height_mm,filter_type,style,strap_type,color,where_to_buy_url_1,where_to_buy_url_2,where_to_buy_url_3,image_url,filtration_efficiency_source,filtration_efficiency_notes,breathability_pascals_source,breathability_pascals_notes,uimc_lower,initial_cost_us_dollars,depth_mm,mass_grams
Happy Life Good Day KF94 Kids Mask (Black),,95.57,130.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/Certified-Disposable-Comfortable-Happy-Life/dp/B08SBHHQNZ/ref=sr_1_80?crid=302OFE7X4V022&dchild=1&keywords=kids+kn95+mask&qid=1633728214&sprefix=kids+kn%2Caps%2C222&sr=8-80,,,//www.armbrustusa.com/cdn/shop/articles/632_happy_life_good_day_up.jpg?v=1676402320,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),happy life good day kf94 kids mask (black),,,
HAPPYDAY KF94 Face Mask,,99.49,135.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/Pieces-HAPPYDAY-Black-Large-Adult/dp/B08Y8VRLFB/ref=sr_1_14?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-14,,,//www.armbrustusa.com/cdn/shop/articles/640_happyday_up.jpg?v=1676402246,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),happyday kf94 face mask,,,
HappyLife Gooday Kids Mask - XSmall,3.5-6,98.5,123.0,158.0,67.0,KF94,Boat,,,https://kollecteusa.com/collections/happylife/products/happy-lifegood-day-kf94-premium-face-mask-kidswhite-2?variant=40698214187157,https://www.everydayemall.com/collections/ppe/products/cute-cartoon-design-kf94-mask-for-kids-made-in-korea-white-kf94-1pcs,,https://kollecteusa.com/cdn/shop/products/MainimageBlackMask_GreenPackage_1494x1494.jpg?v=1627764165,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",happylife gooday kids mask - xsmall,,,
HDX Home Depot H-950 N95 Mask,,99.47,106.96,,,N95,Cup,Headstrap,White,https://www.homedepot.com/p/HDX-N95-Respirator-Masks-M-L-10-Pack-H950/315303672,,,//www.armbrustusa.com/cdn/shop/articles/520_home_depot_n95.jpg?v=1675895830,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),hdx home depot h-950 n95 mask,,,
HOM - KN95 Protective Facemasks,,98.18,300.0,,,KN95,Bifold,Earloop,White,https://www.amazon.com/gp/product/B08FDZ7XDK/ref=ppx_od_dt_b_asin_title_s06?ie=UTF8&psc=1,,,//www.armbrustusa.com/cdn/shop/articles/HOME.jpg?v=1676400003,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),hom - kn95 protective facemasks,,,
Homeland Hardware KN95 face mask,,99.03,196.0,,,KN95,Bifold,Earloop,White,https://www.amazon.com/Approved-Non-NIOSH-Respirator-5-Ply-GB2626-2006/dp/B08HSHSJSP/ref=sr_1_30?crid=3USYR0ZAG3U0P&dchild=1&keywords=well+before+kn95+masks&qid=1633721495&sprefix=well+bef%2Caps%2C227&sr=8-30,,,//www.armbrustusa.com/cdn/shop/articles/581_homeland_hardware_nan_qi_sing_up.jpg?v=1676396279,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),homeland hardware kn95 face mask,,,
Honeywell DF300 N95,,97.69,93.1,,,N95,Bifold,Headstrap,White,https://www.amazon.com/Honeywell-DF300-Flatfold-Disposable-Respirator/dp/B08YJ3HNN7/ref=zg_bs_2257619011_7?_encoding=UTF8&psc=1&refRID=F1TZRZJ0W1FX743BAZH6,,,//www.armbrustusa.com/cdn/shop/articles/570_honeywell_up.jpg?v=1676403595,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),honeywell df300 n95,,,
HotoDeal - KN95 Foldable Protective Face Mask,,99.59,164.7,,,KN95,Bifold,Earloop,White,https://www.amazon.com/gp/product/B08LH9XZP9/ref=ppx_yo_dt_b_asin_title_o06_s01?ie=UTF8&psc=1,,,//www.armbrustusa.com/cdn/shop/articles/536-Hotdeal-KN95_.HEIC_dfc6b624-49d6-4da0-af03-22141898c98c.jpg?v=1645105622,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),hotodeal - kn95 foldable protective face mask,,,
Hotodeal KN95 Face Mask,,99.67,175.0,,,KN95,Bifold,Earloop,Black,https://www.amazon.com/KN95-Face-Mask-Efficiency%E2%89%A595-Essential/dp/B08L932GP3/ref=sw_img_sspa_dk_huc_pt_expsub_3?_encoding=UTF8&pd_rd_i=B08L932GP3&pd_rd_w=VIsYQ&pf_rd_p=faa7bbf3-ed92-4e3c-bdb3-3bb45fd8d24c&pf_rd_r=2Z3RCAA6EPVDJY2DJKB6&pd_rd_r=5359e800-864f-47b8-9435-d311367d9a6c&pd_rd_wg=Z8oRe&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyU0pKWVozU05OSkpXJmVuY3J5cHRlZElkPUEwNzk3MzM5OFhROVRQOTRQVkFWJmVuY3J5cHRlZEFkSWQ9QTA0MjQxNjUzVVQ4TFNKQk1MSjExJndpZGdldE5hbWU9c3BfaHVjX21yYWkmYWN0aW9uPWNsaWNrUmVkaXJlY3QmZG9Ob3RMb2dDbGljaz10cnVl,,,//www.armbrustusa.com/cdn/shop/articles/564_hotodeal_up.jpg?v=1642034142,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),hotodeal kn95 face mask,,,
Hotodeal Zhongjianle KN95 PFE 95% Foldable Face Masks,,97.88,220.36,,,KN95,Bifold,Earloop,White,https://www.amazon.com/gp/product/B08L92R3VF/ref=ppx_od_dt_b_asin_title_s05?ie=UTF8&psc=1,,,//www.armbrustusa.com/cdn/shop/articles/540-HotodealZhongjianle-KN95-.HEIC_3f276424-0a02-434b-8871-ba6d8e7b4ec7.jpg?v=1645105940,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),hotodeal zhongjianle kn95 pfe 95% foldable face masks,,,
HUHETA - KN95 5Ply Protective Masks,,99.7,172.02,,,KN95,Bifold,Earloop,White,https://www.amazon.com/Individually-Breathable-Comfortable-Efficiency%E2%89%A595-Protective/dp/B08M66XB9T/ref=sr_1_7?crid=218B2YNAPHPJN&dchild=1&keywords=kn95%2Bface%2Bmasks%2Bhuheta%2Bwhite&qid=1630090852&sprefix=KN95%2BFace%2BMasks%2BHuh%2Ctools%2C175&sr=8-7&th=1,,,//www.armbrustusa.com/cdn/shop/articles/531---Huheta---KN95.jpg?v=1675894513,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),huheta - kn95 5ply protective masks,,,
Indiana Face Mask A105 Particulate Respirator,,99.93,98.32,,,N95,Bifold,Headstrap,White,https://www.armbrustusa.com/products/usa-made-n95-indiana-face-mask,,,//www.armbrustusa.com/cdn/shop/articles/IFM_69f9cc5c-d24b-4b90-8c77-bb834a200ae6.jpg?v=1676401274,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),indiana face mask a105 particulate respirator,,,
JCJZ KN95 Face Mask,,99.02,203.0,,,KN95,Bifold,Earloop,White,https://www.amazon.com/dp/B08MZZ6P9V/ref=sspa_dk_detail_5?psc=1&pd_rd_i=B08MZZ6P9V&pd_rd_w=PliCh&pf_rd_p=887084a2-5c34-4113-a4f8-b7947847c308&pd_rd_wg=ogcI6&pf_rd_r=ZRYXM58GADJSCZJZHNE8&pd_rd_r=3715ef48-df34-4af6-8fad-4f908414cb05&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzU01USDkxMlNSVEZEJmVuY3J5cHRlZElkPUEwOTE4Njg5MlJGUzVPRlJBNFpZUyZlbmNyeXB0ZWRBZElkPUEwNzA4MjQ4MkhVUFZLSkI4VjYwNiZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,,,//www.armbrustusa.com/cdn/shop/articles/677_jcjz_up.jpg?v=1642192433,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),jcjz kn95 face mask,,,
KF94 Certified MASKOVER Premium Protective Breathable Safety Masks,,99.75,185.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/dp/B093TGK59V?pd_rd_i=B093TGK59V&pd_rd_w=T32e6&pf_rd_p=7ea8e9d0-fed1-49e8-a002-f2d3f5cb151d&pd_rd_wg=nTee6&pf_rd_r=GNWSA55CW1PF0KFX2TXG&pd_rd_r=2ea4f1ed-d586-463c-b9bb-51d83423c4fa,,,//www.armbrustusa.com/cdn/shop/articles/639_maskover_up.jpg?v=1676402510,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),kf94 certified maskover premium protective breathable safety masks,,,
"KF94 Certified, TS Guard Safety Face Mask",,98.7,150.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/Certified-4-Layered-Protection-Tri-Folding-3D-Ergonomic/dp/B09FVK5YTR/ref=sr_1_29?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-29,,,//www.armbrustusa.com/cdn/shop/articles/646_ts_guard_up.jpg?v=1641830161,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),"kf94 certified, ts guard safety face mask",,,
Kim Well's Kids Mask,4-9,99.6,391.0,153.0,67.0,KF94,Boat,,,https://www.everydayemall.com/collections/kids-mask/products/eightsuper-kf94-mask-for-kids?variant=40788806959255,,,https://www.everydayemall.com/cdn/shop/products/KIMSWEL_1080x.png?v=1631151967,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",kim well's kids mask,,,
Kingfa KN95 Face Mask,,99.15,169.0,,,KN95,Bifold,Earloop,White,https://www.amazon.com/Kingfa-Non-NIOSH-Respirator-GB2626-2006-Compliant/dp/B0882TV6JM/ref=sr_1_19_sspa?crid=3USYR0ZAG3U0P&dchild=1&keywords=well+before+kn95+masks&qid=1633721495&sprefix=well+bef%2Caps%2C227&sr=8-19-spons&psc=1&smid=A207MOEUVV9JHZ&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExVExJWkxVQ01HUTdDJmVuY3J5cHRlZElkPUEwNzE0NDU4M005NzhWUkVHQ1pJRiZlbmNyeXB0ZWRBZElkPUEwMjkxNjA5MU80VUFVMFU0SVQ4RSZ3aWRnZXROYW1lPXNwX210ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,,,//www.armbrustusa.com/cdn/shop/articles/578_kingfa_up.jpg?v=1676396271,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),kingfa kn95 face mask,,,
KN Flax KF94 - Face Protective Mask,,99.79,194.0,,,KF94,Boat,Earloop,White,https://www.amazon.com/KF94-Protective-Individually-Packaged-Certified/dp/B08J95F5TR/ref=sr_1_44?crid=3USYR0ZAG3U0P&dchild=1&keywords=well+before+kn95+masks&qid=1633721495&sprefix=well+bef%2Caps%2C227&sr=8-44,,,//www.armbrustusa.com/cdn/shop/articles/587_kn_flax_up.jpg?v=1676316765,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),kn flax kf94 - face protective mask,,,
LG Airwasher KF94 Disposable Face Masks,,99.07,299.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/dp/B08WJPS6KY?ots=1&slotNum=15&imprToken=aebe30a1-473a-0763-430&ascsubtag=[]st[p]ckhwh8zcd00001eogqsqvmg87[i]INXNQ0[u]1[t]w[r]google.com[d]D[z]m&tag=thestrategistsite-20,,,//www.armbrustusa.com/cdn/shop/articles/560_lg_airwasher_up.jpg?v=1676317117,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),lg airwasher kf94 disposable face masks,,,
LUCIFER 4 Layer KF94 Face Mask,,95.6,230.0,,,KF94,Boat,Earloop,Multicolored,https://www.amazon.com/LUCIFER-Unisex-Adult-Multicolor-Filtration-Ventilation/dp/B08VJDFNRL/ref=sxin_15_trfob_obrv2_2_B08VJDFNRL?crid=302OFE7X4V022&cv_ct_cx=kids+kn95+mask&dchild=1&keywords=kids+kn95+mask&pd_rd_i=B08VJDFNRL&pd_rd_r=c729f313-e7d5-49c7-aebf-85e937a994a9&pd_rd_w=pvkQr&pd_rd_wg=VktSn&pf_rd_p=1d6e366b-5f11-4530-8e71-2f6bdec54b20&pf_rd_r=TQ6AGVV4DEXHWDSGZS6Y&qid=1633728055&sprefix=kids+kn%2Caps%2C222&sr=1-3-fce42522-50ed-4c3a-b4cc-39c8aaa1be5f,,,//www.armbrustusa.com/cdn/shop/articles/603-LUCIFER_-_KF94_copy.jpg?v=1676402921,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),lucifer 4 layer kf94 face mask,,,
Lutema M95C/Vida/LittleLivesPPE Mask,9-13,98.6,361.0,89.0,135.0,KN95?,Bifold,,,https://lutema.com/products/kids-5-layer-disposable-face-mask-with-95-particle-protection-made-in-the-usa-5-pack,,,https://lutema.com/cdn/shop/products/Image001_1_e1023803-4e9c-4601-95a1-aa41f1108c55_1024x1024@2x.jpg?v=1604775663,https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",https://docs.google.com/spreadsheets/d/1i06OAItoOwIUaMjElr8mhh0Rw-it6WL-ODIQMZUOQxE/edit?gid=0#gid=0,"Aaron Collins (MaskNerd) used his own face, and breathed at his normal adult breathing rate.",lutema m95c/vida/littlelivesppe mask,,,
MedicPro N95 Mask,,99.15,170.0,,,N95,Bifold,Headstrap,White,https://www.amazon.com/MedicPro-Approved-Individually-Particulate-Respirator/dp/B08VRSJBJQ/ref=sr_1_17?crid=3USYR0ZAG3U0P&dchild=1&keywords=well+before+kn95+masks&qid=1633721495&sprefix=well+bef%2Caps%2C227&sr=8-17,,,//www.armbrustusa.com/cdn/shop/articles/576_pandemic_solutions_copy.jpg?v=1676403506,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),medicpro n95 mask,,,
MediMask - KF94 Korea Filter,,98.0,177.8,,,KF94,Boat,Earloop,White,http://kukjepharm.co.kr/,,,//www.armbrustusa.com/cdn/shop/articles/237_medi_mask.png?v=1676316776,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),medimask - kf94 korea filter,,,
MISSAA Kids KN95 Face Mask,,98.7,204.0,,,KN95,Bifold,Earloop,Graphics,https://www.amazon.com/KN95-Children-5-Layers-Tie-dye-Disposable/dp/B096F329YW?ref_=ast_sto_dp&th=1&psc=1,,,//www.armbrustusa.com/cdn/shop/articles/671_missaa_up.jpg?v=1676399940,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),missaa kids kn95 face mask,,,
Miuphro Black KN95 Mask,,99.32,188.66,,,KN95,Bifold,Earloop,Black,https://www.amazon.com/Miuphro-Black-Protection-Against-Pollution/dp/B08NPKVCJG/ref=sw_img_sspa_dk_huc_pt_expsub_3?_encoding=UTF8&pd_rd_i=B08NPKVCJG&pd_rd_w=ztPCR&pf_rd_p=faa7bbf3-ed92-4e3c-bdb3-3bb45fd8d24c&pf_rd_r=T05TZ6EYX3FGHJCD4YHH&pd_rd_r=5d9903b9-3c3a-46d4-9d6f-b7f2da092e6b&pd_rd_wg=HBnsV&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzRU5YWkhBTkxBS0NQJmVuY3J5cHRlZElkPUEwNjgxMjA5M0ZCUEdNN1VTQ0o1WCZlbmNyeXB0ZWRBZElkPUEwOTc3NTE1MUZVOFBUUEVHMDZMRyZ3aWRnZXROYW1lPXNwX2h1Y19tcmFpJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,,,//www.armbrustusa.com/cdn/shop/articles/565_miuphro_up.jpg?v=1676396540,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),miuphro black kn95 mask,,,
NEWMARK Dr. Family 5-Ply Protective Mask,,96.9,247.0,,,KN95,Bifold,Earloop,White,https://www.amazon.com/NEWMARK-Dr-Family-Protective-Pollution-Protection/dp/B08953M5ML/ref=sxin_13_pa_sp_search_thematic_sspa?crid=3USYR0ZAG3U0P&cv_ct_cx=well+before+kn95+masks&dchild=1&keywords=well+before+kn95+masks&pd_rd_i=B08953M5ML&pd_rd_r=a671cb76-9e20-47e9-b790-c8b62c3f99b1&pd_rd_w=YZbob&pd_rd_wg=3mQdi&pf_rd_p=f21da57e-06e4-46a5-9148-e2dea2e78384&pf_rd_r=BG7KTQ8FPPJZH4M45FYC&qid=1633721495&sprefix=well+bef%2Caps%2C227&sr=1-4-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons&psc=1&smid=A3FWMTJWY8UPGM&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExVExJWkxVQ01HUTdDJmVuY3J5cHRlZElkPUEwMzIyNjA2MlBFMDY4RlpPT0ZGRyZlbmNyeXB0ZWRBZElkPUEwMzA0MjAzMjZLOUM5N1RaVzIxUiZ3aWRnZXROYW1lPXNwX3NlYXJjaF90aGVtYXRpYyZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,,,//www.armbrustusa.com/cdn/shop/articles/574-_Newmark-KN95_copy.jpg?v=1675894498,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),newmark dr. family 5-ply protective mask,,,
Novita Surgical Respirator,,99.58,155.38,,,CE,Bifold,Headstrap,White,https://www.amazon.com/Surgical-Respirator-Headband-Certified-Singapore/dp/B08PY3TTW7/ref=sr_1_6?dchild=1&keywords=novita+Surgical+Respirator&qid=1633724610&s=industrial&sr=1-6,,,//www.armbrustusa.com/cdn/shop/articles/666_novita_up.jpg?v=1675895573,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),novita surgical respirator,,,
NYBEE KF94 Mask,,99.16,418.0,,,KF94,Boat,Earloop,Black,https://www.amazon.com/10-BLACK-NYBEE-Breathable-Lightweight-Comfortable/dp/B08LT1WCPR/ref=sr_1_18?crid=2B1E2TN4FZZ94&dchild=1&keywords=kf94+mask&qid=1633741684&sprefix=kf94%2Caps%2C235&sr=8-18,,,//www.armbrustusa.com/cdn/shop/articles/642_nybee_up.jpg?v=1676316753,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),nybee kf94 mask,,,
OfficeDepot BYD Care N95 Particulate Respirator,,99.1,181.82,,,N95,Bifold,Headstrap,Green,https://www.officedepot.com/a/products/9873715/BYD-Care-Non-Medical-Disposable-N95/,,,//www.armbrustusa.com/cdn/shop/articles/551_byd.png?v=1676396263,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),officedepot byd care n95 particulate respirator,,,
OPECTICID KN95 Mask,,99.65,135.0,,,KN95,Bifold,Earloop,White,"https://www.amazon.com/OPECTICID-Individually-Breathable-Efficiency%C3%A2%C2%89%C2%A595-Disposable/dp/B08NX8SC6G?linkCode=ll1&tag=janiecampbell-20&linkId=5e4e873847f2853b4240db09b4cbadff&language=en_US&ref_=as_li_ss_tl&ascsubtag=61265f29e4b0f562f3d98ba2,-1,-1,d,0,0,hp-fil-am=0",,,//www.armbrustusa.com/cdn/shop/articles/561_opecticid_up.jpg?v=1675895318,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),opecticid kn95 mask,,,
Outdoor Research - N95 Face Masks,,99.61,104.56,,,N95,Bifold,Earloop,White,https://www.outdoorresearch.com/us/n95-flat-fold-respirator,,,//www.armbrustusa.com/cdn/shop/articles/F20-N95-FlatFold-Package-NoColor-XXXXXX_0999_A.png?v=1675895794,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),outdoor research - n95 face masks,,,
PalmJoy 3D Protective KN95 Mask,,98.95,197.0,,,KN95,Bifold,Earloop,White,https://www.amazon.com/Efficiency%E2%89%A595-Disposable-Respirator-Protection-Against/dp/B08W52CN9J/ref=sr_1_41?crid=3USYR0ZAG3U0P&dchild=1&keywords=well+before+kn95+masks&qid=1633721495&sprefix=well+bef%2Caps%2C227&sr=8-41,,,//www.armbrustusa.com/cdn/shop/articles/585_palmjoy_up.jpg?v=1675895335,https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),https://www.armbrustusa.com/pages/mask-testing,Lloyd from Armbrust used a TSI 8130 PFE testing machine (very accurate and precise at 85 LPM flow rate),palmjoy 3d protective kn95 mask,,,
